audience,budget,casting,countries,duration_s,end_year,genres,id,kind,metacritic_score,original_title,poster_link,rating,release_year,synopsis,title,vote_count,worldwide_gross
R,20000000,"Florence Pugh, Harry Styles, Chris Pine, Olivia Wilde, KiKi Layne, Gemma Chan, Nick Kroll, Sydney Chandler, Kate Berlant, Asif Ali, Douglas Smith, Timothy Simons, Ari'el Stachel, Steve Berg, Daisy Sudeikis, Marcello Reyes, Monroe Cline, Angel Mammoliti",United States,7380,,"Drama, Mystery, Thriller",tt10731256,Movie,48,Don't Worry Darling,https://m.media-amazon.com/images/M/MV5BMzFkMWUzM2ItZWFjMi00NDY0LTk2MDMtZDhkMDE2MjRlYmZlXkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_.jpg,6.3,2022,"While her husband leaves home everyday to work in a top secret facility, a young 1950s housewife begins to question her life when she notices strange behavior from the other wives in the neighborhood.",Don't Worry Darling,144493,87609403
R,2291901,"Barry G. Bernson, Herb Caillouet, Bill Camp, Raffey Cassidy, Denise Dal Vera, Colin Farrell, Barry Keoghan, Nicole Kidman, Drew Logan, Alicia Silverstone, Sunny Suljic, Michael Trester, Ming Wang, Dylan Keith Adams, Mike Ancas, Michael Lee Bailey, Denise Barone, Lea Hutton Beasmore","Ireland, United Kingdom, United States",7260,,"Drama, Horror, Mystery",tt5715874,Movie,73,The Killing of a Sacred Deer,https://m.media-amazon.com/images/M/MV5BMjU4NDcwOTA2NF5BMl5BanBnXkFtZTgwMjE2OTg4MzI@._V1_.jpg,7.0,2017,"Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",The Killing of a Sacred Deer,185246,6938106
PG,40000000,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern, Timothée Chalamet, Tracy Letts, Bob Odenkirk, James Norton, Louis Garrel, Jayne Houdyshell, Chris Cooper, Meryl Streep, Rafael Silva, Mason Alban, Emily Edström, Maryann Plunkett, Hadley Robinson",United States,8100,,"Drama, Romance",tt3281548,Movie,91,Little Women,https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,7.8,2019,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Little Women,242908,218843645
R,103000000,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Tomas Arana, Ralf Moeller, Spencer Treat Clark, David Hemmings, Tommy Flanagan, Sven-Ole Thorsen, Omid Djalili, Nicholas McGaughey, Chris Kell","United States, United Kingdom, Malta, Morocco",9300,,"Action, Adventure, Drama",tt0172495,Movie,67,Gladiator,https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,8.5,2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Gladiator,1610785,465387186
TV-MA,,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile, Dola Rashad, Daniel K. Isaac, Jeffrey DeMunn, Asia Kate Dillon, Kelly AuCoin, Dan Soder, Toby Leonard Moore, Dhruv Maheshwari, Kira Visser, Louis Cancelmi, Zina Wilde, Stephen Kunken, Lilly Moran, Ben Shenkman",United States,3600,2023,Drama,tt4270492,TV Series,,Billions,https://m.media-amazon.com/images/M/MV5BYTMyZGNjYTUtNzNhYS00MDM0LWJlNjktYTFhMmM3ZjE0ZDMxXkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_.jpg,8.3,2016,"New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances, only one thing's for certain - wealth means war.",Billions,108877,
TV-14,,"Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper, Sarah Wayne Callies, Wade Williams, William Fichtner, Paul Adelstein, Rockmond Dunbar, Jodi Lyn O'Keefe, Leon Russom, Marshall Allman, Robin Tunney, Stacy Keach, Michael Rapaport, Peter Stormare, Phillip Edward Van Lear, Muse Watson","United Kingdom, United States",2640,2017,"Action, Crime, Drama",tt0455275,TV Series,,Prison Break,https://m.media-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@._V1_.jpg,8.3,2005,"A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside.",Prison Break,576386,
TV-MA,,"Jennifer Aniston, Reese Witherspoon, Billy Crudup, Mark Duplass, Karen Pittman, Nestor Carbonell, Victoria Tate, Shari Belafonte, Hannah Leder, Joe Marinelli, Greta Lee, Desean Terry, Eli Bildner, Amber Friendly, Tom Irwin, Joe Pacheco, Steve Carell, Janina Gavankar",United States,3600,,Drama,tt7203552,TV Series,,The Morning Show,https://m.media-amazon.com/images/M/MV5BMzdmMTVhNGYtOGFhOC00NGVkLTkzYTQtNWYxNTE1ZjQxNmNjXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg,8.2,2019,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the team.",The Morning Show,128690,
,,"Ariana Greenblatt, Jack Black, Cate Blanchett, Jamie Lee Curtis, Gina Gershon, Haley Bennett, Kevin Hart, Bobby Lee, Janina Gavankar, Paula Andrea Placido, Edgar Ramírez, Olivier Richters, Cheyenne Jackson, Florian Munteanu, Benjamin Byron Davis, Steven Boyer, Ryann Redmond, Jeremy Wheeler",United States,6120,,"Action, Adventure, Comedy",tt4978420,Movie,,Borderlands,https://m.media-amazon.com/images/M/MV5BOWZmOTM5YmMtNjliMi00OGRkLWIwNGUtNDI2NTE3NzZmMDdmXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,,2024,The popular video game set on the abandoned fictional planet of Pandora where people search for a mysterious relic.,Borderlands,0,
PG-13,608112,"Leonie Benesch, Anne-Kathrin Gummich, Rafael Stachowiak, Michael Klammer, Eva Löbau, Kathrin Wehlisch, Sarah Bauerett, Canan Suvatlar, Kersten Reimann, Henriette Sievers, Benjamin Bishop, Tim Porath, Katinka Auberger, Katharina Marie Schubert, Uygar Tamer, Özgür Karadeniz, Leonard Stettnisch, Oskar Zickur",Germany,5880,,Drama,tt26612950,Movie,83,Das Lehrerzimmer,https://m.media-amazon.com/images/M/MV5BYjc3MTM5MzktNTUwYi00ODRjLTliOTMtYWJiZTQ2NzhlZjJlXkEyXkFqcGdeQXVyMTQyODg5MjQw._V1_.jpg,7.5,2023,"When one of her students is suspected of theft, teacher Carla Nowak decides to get to the bottom of the matter. Caught between her ideals and the school system, the consequences of her actions threaten to break her.",The Teachers' Lounge,12962,4532206
R,30000000,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal, Victor Garber, Daniel Kaluuya, Jeffrey Donovan, Raoul Max Trujillo, Julio Cesar Cedillo, Hank Rogerson, Bernardo Saracino, Maximiliano Hernández, Kevin Wiggins, Edgar Arreola, Kim Larrichio, Jesus Nevarez-Castillo, Dylan Kenin, John Trejo","United States, Mexico, Hong Kong",7260,,"Action, Crime, Drama",tt3397884,Movie,82,Sicario,https://m.media-amazon.com/images/M/MV5BMjA5NjM3NTk1M15BMl5BanBnXkFtZTgwMzg1MzU2NjE@._V1_.jpg,7.7,2015,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Sicario,472798,84997446
PG-13,40000000,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine, Piper Perabo, Rebecca Hall, Samantha Mahurin, David Bowie, Andy Serkis, Daniel Davis, Jim Piddock, Christopher Neame, Mark Ryan, Roger Rees, Jamie Harris, Monty Stuart, Ron Perkins, Ricky Jay","United Kingdom, United States",7800,,"Drama, Mystery, Sci-Fi",tt0482571,Movie,66,The Prestige,https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_.jpg,8.5,2006,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",The Prestige,1433534,109676311
,,"Phoebe Tonkin, Patrick Fischler, Madison Hu, Lamorne Morris, Christopher Denham, Lauren Bowles, Connor Price, Jess Varley, Joy Picodot, Tom Dang, Dennis William Grimes, David Carrera, Tricia Small, Ella Stabile",United States,4920,,"Horror, Thriller",tt13380324,Movie,,Night Shift,https://m.media-amazon.com/images/M/MV5BNTk3ZjI0MTgtN2ViMC00YjFhLTk0MjctZjg3YmJmNGRhYWQzXkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_.jpg,5.2,2023,"While working her first night shift at a remote motel, a woman begins to suspect that the property is haunted.",Night Shift,762,
R,12036071,"Rachel Sennott, Ayo Edebiri, Ruby Cruz, Havana Rose Liu, Kaia Gerber, Nicholas Galitzine, Miles Fowler, Marshawn Lynch, Dagmara Dominczyk, Punkie Johnson, Zamani Wilder, Summer Joy Campbell, Virginia Tucker, Wayne Pére, Toby Nichols, Cameron Stout, Ted Ferguson, Bruno Rose",United States,5460,,Comedy,tt17527468,Movie,74,Bottoms,https://m.media-amazon.com/images/M/MV5BZWZkZjE2OGYtN2RiMS00ZDE5LWFlZGQtYzI1OTNhZDZkYzM3XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_.jpg,6.7,2023,Two unpopular queer high-school students start a fight club to have sex before graduation.,Bottoms,38988,12966048
PG,19000000,"Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman, Kerri Green, Martha Plimpton, Ke Huy Quan, John Matuszak, Robert Davi, Joe Pantoliano, Anne Ramsey, Lupe Ontiveros, Mary Ellen Trainor, Keith Walker, Curt Hanson, Steve Antin, Paul Tuerpe, George Robotham",United States,6840,,"Adventure, Comedy, Family",tt0089218,Movie,62,The Goonies,https://m.media-amazon.com/images/M/MV5BNTNmZDc0ZDEtZjY3Ni00YmVjLTljNWQtMTE3NDAxNWFhMDk4XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg,7.7,1985,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,The Goonies,296887,64527378
TV-PG,,"Walker Scobell, Leah Jeffries, Aryan Simhadri, Virginia Kull, Charlie Bushnell, Timm Sharp, Glynn Turman, Nick Boraine, Azriel Dalman, Dior Goodjohn, Andrew Alvarez, Megan Mullally, Jason Mantzoukas, Adam Copeland, Threnody Tsai, Hiro Kanagawa, Ryan Cowie, Toby Stephens",United States,2700,,"Action, Adventure, Family",tt12324366,TV Series,,Percy Jackson and the Olympians,https://m.media-amazon.com/images/M/MV5BMTYyNGUyNWMtMWFlMy00NThiLTk3YjItMWE2MzMzNmQwZTU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,7.1,2023,Demigod Percy Jackson leads a quest across America to prevent a war among the Olympian gods.,Percy Jackson and the Olympians,33646,
PG-13,47000000,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien, Tzi Ma, Abigail Pniowsky, Julia Scarlett Dan, Jadyn Malone, Frank Schorpion, Lucas Chartier-Dessert, Christian Jadah, Lucy Van Oldenbarneveld, Andrew Shaver, Pat Kiely, Sonia Vigneault, Mark Camacho, Sabrina Reeves","United States, Canada",6960,,"Drama, Mystery, Sci-Fi",tt2543164,Movie,81,Arrival,https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_.jpg,7.9,2016,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,Arrival,763883,203389228
,18665,"Esther Povitsky, Bobby Lee, Danny Griffin, Brandon Wardell, Beverly D'Angelo, James Remar, Haley Joel Osment, Miranda Cosgrove, Al Madrigal, Jackie Sandler, Patricia Williams, Jonnie Park, Nicholas Rutherford, Bill Burr, Bhad Bhabie, Trevor Wallace, Jon Gabrus, Matt Walsh",United States,5460,,"Comedy, Crime, Mystery",tt19364132,Movie,,Drugstore June,https://m.media-amazon.com/images/M/MV5BN2ZkOTZhYjAtYjlkMC00ZDVlLTgyNzItMGU4NWU0ODk1ZmNhXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_.jpg,5.1,2024,"After the pharmacy in her small town is robbed, a girl who still lives at home with her parents takes matters into her own hands to solve the crime, while at the same time trying to get over her ex-boyfriend and become more of an adult.",Drugstore June,590,18665
TV-MA,,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton, Tessa Thompson, James Marsden, Luke Hemsworth, Angela Sarafyan, Anthony Hopkins, Aaron Paul, Simon Quarterman, Rodrigo Santoro, Shannon Woodward, Jimmi Simpson, Talulah Riley, Ptolemy Slocum, Leonardo Nam, Ingrid Bolsø Berdal",United States,3720,2022,"Drama, Mystery, Sci-Fi",tt0475784,TV Series,,Westworld,https://m.media-amazon.com/images/M/MV5BZDg1OWRiMTktZDdiNy00NTZlLTg2Y2EtNWRiMTcxMGE5YTUxXkEyXkFqcGdeQXVyMTM2MDY0OTYx._V1_.jpg,8.5,2016,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",Westworld,530712,
R,105000000,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey, Neil Patrick Harris, Clancy Brown, Seth Gilliam, Patrick Muldoon, Michael Ironside, Rue McClanahan, Marshall Bell, Eric Bruskotter, Matt Levin, Blake Lindsley, Anthony Ruivivar, Brenda Strong, Dean Norris, Christopher Curry",United States,7740,,"Action, Adventure, Sci-Fi",tt0120201,Movie,52,Starship Troopers,https://m.media-amazon.com/images/M/MV5BNWExNzg3MmMtYjc3MS00MzFlLWJiOWQtNWYxZTgxNjhlZTQ2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,7.3,1997,"Humans, in a fascist militaristic future, wage war with giant alien bugs.",Starship Troopers,319188,121214377
TV-MA,,"Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono, Aleks Le, Bryce Papenbrook, Gui Niang, Lin Hu, You-Wu-Yue-Shan, Shinya Takahashi, Ray Chase, Katsuyuki Konishi, Doug Erholtz, Toshiyuki Morikawa, Kengo Kawanishi, Erica Lindbeck",Japan,1440,,"Animation, Action, Adventure",tt9335498,TV Series,,Kimetsu no Yaiba,https://m.media-amazon.com/images/M/MV5BYTIxNjk3YjItYmYzMC00ZTdmLTk0NGUtZmNlZTA0NWFkZDMwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,8.6,2019,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",Demon Slayer: Kimetsu no Yaiba,144807,
R,63000000,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette, David Andrews, George Maguire, Eugenie Bondurant, Christina Cabot, Helena Bonham Carter, Sydney 'Big Dawg' Colston, Rachel Singer, Christie Cronenweth, Tim DeZarn, Ezra Buzzington, Dierdre Downing-Jackson, Bob Stephenson, Charlie Dell","Germany, United States",8340,,Drama,tt0137523,Movie,67,Fight Club,https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,8.8,1999,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Fight Club,2308882,101320107
,,"Ben Feldman, Perry Mooney, Rick Donald, Emily Taheny, Katrina Milosevic, Geneviève Lemon, Stephen Curry, Steve Le Marquand, Tony Briggs, Taylor Graetz, Zach Wilson, Pippa Grandison, Karis Oka, Fiona Choi, Eric Goodchild, Chai Hansen, Ethan Gosatti, William Zappa",Australia,,,"Comedy, Crime, Mystery",tt31105951,TV Series,,Population: 11,https://m.media-amazon.com/images/M/MV5BODkxMDY3NjgtNjM3YS00YTA1LTk2ZGYtN2UwZjE5NTIxN2E5XkEyXkFqcGdeQXVyNjI3NTI3NzQ@._V1_.jpg,6.8,2024,"When a man goes missing from a tiny outback town, his estranged son is forced to navigate its motley crew of residents to find him.",Population: 11,297,
,,"Cynthia Erivo, Ariana Grande, Jonathan Bailey, Marissa Bode, Ethan Slater, Michelle Yeoh, Jeff Goldblum, Keala Settle, Bronwyn James, Bowen Yang, Aaron Teoh Guan Ti, Adam James, Colin Michael Carmichael, Alfredo Tavares, Grecia De la Paz, Terence Hughes, Ricardo Ludgero Souza, Jonathan Sparrow",United States,,,"Fantasy, Musical, Romance",tt1262426,Movie,,Wicked: Part One,https://m.media-amazon.com/images/M/MV5BMzczZWJjYTgtM2UyMC00NDMzLWJhMzItYWRlOGI1YmNlZmViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,,2024,"After two decades as one of the most beloved and enduring musicals on the stage, Wicked makes its long-awaited journey to the big screen as a spectacular, generation-defining cinematic event this holiday season.",Wicked,0,
TV-MA,,"Melissa Benoist, Carla Gugino, Christina Elmore, Natasha Behnam, Rose Jackson Smith, Adam Kaplan, Hettienne Park, Leslie Fray, Scott Cohen, Peter Jacobson, Brandon Scott, Griffin Dunne, Max Darwin, Kiva Jump, Perry Strong, Awni Abdi-Bahri, Mark Consuelos, Kyle Vincent Terry",United States,2820,,Drama,tt10970364,TV Series,,The Girls on the Bus,https://m.media-amazon.com/images/M/MV5BMDI4ZjI0MWItYzJjZC00ZDI2LWJkZTUtODBhOGQ0NGM5MDBkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,5.5,2024,"Four female journalists who follow the every move of a parade of flawed presidential candidates, finding friendship, love, and a scandal that could take down not just the presidency but our entire democracy along the way.",The Girls on the Bus,341,
PG-13,100000000,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy, Damien Bonnard, Aneurin Barnard, Lee Armstrong, James Bloor, Tom Glynn-Carney, Jack Lowden, Luke Thompson, Michel Biel, Constantin Balsan, Billy Howle, Mikey Collins, Callum Blake, Dean Ridge, Bobby Lockwood","United Kingdom, Netherlands, France, United States",6360,,"Action, Drama, History",tt5013056,Movie,94,Dunkirk,https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,7.8,2017,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Dunkirk,735391,530432122
TV-MA,,"Maya Erskine, George Takei, Masi Oka, Brenda Song, Darren Barnet, Randall Park, Kenneth Branagh, Cary-Hiroyuki Tagawa, Gedde Watanabe, Patrick Gallagher, Eric Bauza, Clyde Kusatsu, Ming-Na Wen, Keone Young, Marcus Choi, Ann Harada, Orli Mariko Green, Judah Green",United States,,2023,"Animation, Action, Adventure",tt13309742,TV Series,,Blue Eye Samurai,https://m.media-amazon.com/images/M/MV5BNDg5YjhiNmUtYjI5NC00MDEyLWI5MjUtZTRhM2EwZGZhNWM3XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_.jpg,8.7,2023,"Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.",Blue Eye Samurai,61162,
TV-PG,,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle, Laura Carmichael, Jim Carter, Michelle Dockery, Joanne Froggatt, Robert James-Collier, Sophie McShera, Lesley Nicol, Maggie Smith, Penelope Wilton, Kevin Doyle, Allen Leech, David Robb, Siobhan Finneran, Dan Stevens",United Kingdom,,2015,"Drama, Romance",tt1606375,TV Series,,Downton Abbey,https://m.media-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.7,2010,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,Downton Abbey,223637,
R,40000000,"Sharon Stone, William Baldwin, Tom Berenger, Polly Walker, Colleen Camp, Amanda Foreman, Martin Landau, CCH Pounder, Nina Foch, Keene Curtis, Nicholas Pryor, Anne Betancourt, Tony Peck, Frantz Turner, Melvyn Kinder, Radu Gavor, Allison Mackie, José Rey",United States,6420,,"Drama, Thriller",tt0108162,Movie,38,Sliver,https://m.media-amazon.com/images/M/MV5BYWM4NTI2N2MtMWY2Mi00YzUwLTg4MDEtOWRjMTY4Njg0MDU4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg,5.1,1993,A woman moves into an exclusive New York City apartment building that she soon discovers houses tenants with all manner of shocking secrets.,Sliver,33898,116300000
PG,100000000,"Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Kevin Michael Richardson, Khary Payton, Charles Martinet, Sebastian Maniscalco, Rino Romano, John DiMaggio, Jessica DiCicco, Keegan-Michael Key, Eric Bauza, Fred Armisen, Seth Rogen, Juliet Jelenic, Scott Menville, Carlos Alazraqui","United States, Japan",5520,,"Animation, Adventure, Comedy",tt6718170,Movie,46,The Super Mario Bros. Movie,https://m.media-amazon.com/images/M/MV5BOTJhNzlmNzctNTU5Yy00N2YwLThhMjQtZDM0YjEzN2Y0ZjNhXkEyXkFqcGdeQXVyMTEwMTQ4MzU5._V1_.jpg,7.0,2023,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess.",The Super Mario Bros. Movie,233070,1361975030
G,3000000,"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear, Julie Dawn Cole, Leonard Stone, Denise Nickerson, Nora Denney, Paris Themmen, Ursula Reit, Michael Bollner, Diana Sowle, Aubrey Woods, David Battley, Günter Meisner, Peter Capell, Werner Heyking, Peter Stuart",United Kingdom,6000,,"Family, Fantasy, Musical",tt0067992,Movie,67,Willy Wonka & the Chocolate Factory,https://m.media-amazon.com/images/M/MV5BZTllNDU0ZTItYTYxMC00OTI4LThlNDAtZjNiNzdhMWZiYjNmXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_.jpg,7.8,1971,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Willy Wonka & the Chocolate Factory,225687,643423
TV-14,,"Atsumi Tanezaki, Kana Ichinose, Mallorie Rodak, Jill Harris, Nobuhiko Okamoto, Hiroki Tôchi, Jason Douglas, Clifford Chapin, Yôji Ueda, Chris Guerrero, Chiaki Kobayashi, Jordan Dash Cruz, Kento Shiraishi, Rebecca Danae, Sayumi Suzushiro, Jirô Saitô, Eiji Hanawa, Haruka Terui",Japan,1800,,"Animation, Adventure, Drama",tt22248376,TV Series,,Sôsô no Furîren,https://m.media-amazon.com/images/M/MV5BODU1NTQ3MjYtZWM0Mi00ZTRjLWE2NTAtMGM5YzZjN2RkZWI0XkEyXkFqcGdeQXVyNzI3NjY3NjQ@._V1_.jpg,9.0,2023,"An elf and her friends defeat a demon king in a great war. But the war is over, and the elf must search for a new way of life.",Frieren: Beyond Journey's End,9065,
PG-13,100000000,"Fantasia Barrino, Taraji P. Henson, Danielle Brooks, Colman Domingo, Corey Hawkins, Phylicia Pearl Mpasi, Halle Bailey, Ciara, H.E.R., David Alan Grier, Deon Cole, Jon Batiste, Louis Gossett Jr., Tamela J. Mann, Aunjanue Ellis-Taylor, Elizabeth Marvel, Stephen Hill, Adetinpo Thomas",United States,8460,,"Drama, Musical",tt1200263,Movie,72,The Color Purple,https://m.media-amazon.com/images/M/MV5BYjBkNGE0NGYtYmU5Ny00NjRiLTk5MmYtMWU4NzYxMDE4YWY4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,6.9,2023,"A woman faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.",The Color Purple,13521,67519191
TV-MA,3000000,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra, Ugo Fox, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy, Xamira Zuloaga, Stella Rocha, Omaima S., David Bohm, Richard Blondel, Nikita Bellucci, Kelly Pix, Tony Caliano","France, Belgium",8100,,"Drama, Romance",tt3774694,Movie,51,Love,https://m.media-amazon.com/images/M/MV5BZGQxZTFlZDctZjcyMy00NzA1LWFkMDYtNzRmZTkwYTFhYTc3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,6.1,2015,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",Love,66256,861057
TV-PG,,"Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson, Yanic Truesdale, Kelly Bishop, Edward Herrmann, Melissa McCarthy, Sean Gunn, Liza Weil, Liz Torres, Jared Padalecki, Matt Czuchry, Jackson Douglas, Michael Winters, Sally Struthers, Emily Kuroda, Todd Lowe",United States,2640,2007,"Comedy, Drama",tt0238784,TV Series,,Gilmore Girls,https://m.media-amazon.com/images/M/MV5BMTQ3NDA1ZWYtYjBmMC00NmJjLWI1NjgtYjg2NDhmMTY2YWQ4XkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_.jpg,8.2,2000,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",Gilmore Girls,147029,
TV-PG,,"Angela Lansbury, William Windom, Ron Masak, Louis Herthum, Tom Bosley, Will Nye, Michael Horton, Ken Swofford, Julie Adams, Herb Edelman, Keith Michell, Bradford Dillman, Richard Paul, Len Cariou, Gregg Henry, James Sloyan, Rosanna Huffman, Hallie Todd",United States,3000,1996,"Crime, Drama, Mystery",tt0086765,TV Series,,"Murder, She Wrote",https://m.media-amazon.com/images/M/MV5BMDk3MTk5ZWEtYjQ0Ny00NGI1LWI5NTItZDA4ZTViODk4ZjQ5XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_.jpg,7.2,1984,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.","Murder, She Wrote",28910,
PG,18291402,"Hilary Swank, Alan Ritchson, Emily Mitchell, Skywalker Hughes, Tamala Jones, Don Mike, Ryan Allen, Drew Powell, Dempsey Bryk, Amy Acker, Erik Athavale, Sharon Bajer, Diana Botelho-Urbanski, DJ Brotherson, David Lawrence Brown, Tristan Carlucci, Rawleigh Clements-Willis, Gwendolyn Collins",United States,7080,,Drama,tt4996328,Movie,57,Ordinary Angels,https://m.media-amazon.com/images/M/MV5BYmY2YmEyYTItYjA4Yy00MTNmLTg1ZDgtNjFlM2QzMDI4MTM2XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_.jpg,7.8,2024,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.,Ordinary Angels,1594,18389745
